"","ts_code","trade_date","close","open","high","low","pre_close","change","pct_chg","vol","amount"
"1","000001.SH",2019-11-28,2889.6934,2902.3644,2909.8398,2883.4339,2903.1947,-13.5013,-0.465,119522468,122616545.2
"2","000001.SH",2019-11-27,2903.1947,2905.3959,2914.4865,2893.4175,2907.0602,-3.8655,-0.133,133862205,137449697.2
"3","000001.SH",2019-11-26,2907.0602,2912.5209,2915.0411,2897.9276,2906.1688,0.8914,0.0307,170004663,165496766.2
"4","000001.SH",2019-11-25,2906.1688,2885.6133,2906.6091,2880.6542,2885.2884,20.8804,0.7237,178587429,174234583.3
"5","000001.SH",2019-11-22,2885.2884,2906.2433,2925.0178,2873.99,2903.6379,-18.3495,-0.6319,158623365,180593829.2
"6","000001.SH",2019-11-21,2903.6379,2902.5529,2910.3608,2891.5314,2911.0534,-7.4155,-0.2547,123458607,139851207.9
"7","000001.SH",2019-11-20,2911.0534,2928.1068,2930.4929,2907.4229,2933.9908,-22.9374,-0.7818,137357530,158543195.6
"8","000001.SH",2019-11-19,2933.9908,2904.2783,2933.9908,2902.855,2909.2002,24.7906,0.8521,135417604,155770741.3
"9","000001.SH",2019-11-18,2909.2002,2889.5495,2911.3784,2884.0883,2891.3431,17.8571,0.6176,124433177,144677413.7
"10","000001.SH",2019-11-15,2891.3431,2911.35,2917.8293,2891.2043,2909.8697,-18.5266,-0.6367,135519463,152576392.7
"11","000001.SH",2019-11-14,2909.8697,2907.7358,2917.374,2899.6186,2905.2409,4.6288,0.1593,129145448,151576183.4
"12","000001.SH",2019-11-13,2905.2409,2913.0197,2913.8612,2893.9712,2914.8232,-9.5823,-0.3287,129765841,146943636.7
"13","000001.SH",2019-11-12,2914.8232,2912.9956,2918.303,2891.5105,2909.9746,4.8486,0.1666,129729154,139060726.2
"14","000001.SH",2019-11-11,2909.9746,2949.9619,2949.9619,2906.769,2964.1849,-54.2103,-1.8288,157916105,166285140.3
"15","000001.SH",2019-11-08,2964.1849,2993.9773,2998.7594,2962.8447,2978.7144,-14.5295,-0.4878,149742107,173867227.2
"16","000001.SH",2019-11-07,2978.7144,2978.1531,2988.955,2969.1201,2978.5955,0.1189,0.004,136952678,155834877.7
"17","000001.SH",2019-11-06,2978.5955,2992.0399,2995.5629,2969.7242,2991.5622,-12.9667,-0.4334,165263547,183985236.2
"18","000001.SH",2019-11-05,2991.5622,2977.7048,3008.3144,2968.0324,2975.4919,16.0703,0.5401,179891593,203691630.2
"19","000001.SH",2019-11-04,2975.4919,2964.576,2983.0581,2964.576,2958.1992,17.2927,0.5846,167248364,188710094.7
"20","000001.SH",2019-11-01,2958.1992,2924.3402,2959.833,2917.1455,2929.0561,29.1431,0.995,159907373,175630839.1
"21","000001.SH",2019-10-31,2929.0561,2944.8427,2946.7523,2923.5167,2939.3209,-10.2648,-0.3492,161571483,181801937.4
